asset,Hat,Body,Ears,Eyes,Head,name,Class,Family,Weapon,Accessory,Background,FacialHair
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065466c6f79644d6164646f636b,Gold Helmet,Lumberjack Shirt,Plain,Safety Goggles,Ape,Floyd Maddock,Military Officers,Maddock,Arrows,None,Cold,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706553616261737469616e436174616c6469,Top Hat,Doublet,Plain,Sunglasses,Ape,Sabastian Cataldi,Merchants,Cataldi,None,Wheat,Warm,Goatee
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416d7364656e416d61746f,None,Ape,Silver Earring,Normal,Ape,Amsden Amato,Merchants,Amato,Arrows,Harmonica,Cold,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065446978696542657374,None,Rainbow Suit,Plain,Normal,Ape,Dixie Best,Artists,Best,Rifle,Cigar,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706548617264656e466f7264,None,Cardigan,Plain,Aviators,Ape,Harden Ford,Artists,Ford,Sword,None,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170655061726b65724d6164646f636b,Feather Hat,Knight Armor,Plain,Normal,Cardano,Parker Maddock,Military Officers,Maddock,None,Wheat,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065566963656e7465446176696573,None,Lumberjack Shirt,Plain,Normal,Orange,Vicente Davies,Craftsmen,Davies,Spear,None,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065566f6c746169726548696c6c,Hoodie,Cardigan,Plain,Normal,Ape,Voltaire Hill,Artists,Hill,None,Wheat,Neutral,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170653f6c69656e436f72746573,None,Robot,Plain,Sunglasses,Robot,Élien Cortes,Explorers,Cortes,None,None,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065446967627948696c6c,Top Hat,Suit,Plain,Normal,Ape,Digby Hill,Artists,Hill,None,Wheat,Green,Goatee
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706552696465725461796c6f72,None,Brown Suit,Feather Pen,Normal,Ape,Rider Taylor,Craftsmen,Taylor,None,None,Warm,Goatee
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065436861726c656d61676e65526f6265727473,None,Suit,Plain,Normal,Robot,Charlemagne Roberts,Craftsmen,Roberts,None,None,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706544616c6c696e436174616c6469,None,Black Wool Coat,Plain,Aviators,Robot,Dallin Cataldi,Merchants,Cataldi,None,Wheat,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654e656c6c6f54686f6d6173,Hoodie,Knight Armor,Plain,Normal,Ape,Nello Thomas,Craftsmen,Thomas,None,None,Cold,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065466f7262657352696368,None,Ape,Plain,Sunglasses,Ape,Forbes Rich,Artists,Rich,None,Wheat,Warm,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654d61727364656e42726f776e,None,Prisoner Uniform,Plain,Monocle,Ape,Marsden Brown,Craftsmen,Brown,None,None,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065527579436f72746573,Gold Helmet,Lumberjack Shirt,Earphones,Normal,Ape,Ruy Cortes,Explorers,Cortes,None,Dagger,Oker,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065466c657572795768697465,None,Brown Suit,Earphones,Normal,Ape,Fleury White,Craftsmen,White,None,None,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065526f67617469656e416d61746f,None,Robot,Plain,Spectacles,Robot,Rogatien Amato,Merchants,Amato,None,None,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065526f67617469656e4d6164646f636b,None,Cardano,Plain,Safety Goggles,Cardano,Rogatien Maddock,Military Officers,Maddock,None,None,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706542726f6d6c6579477265656e,None,Ape,Plain,Normal,Ape,Bromley Green,Craftsmen,Green,None,None,Red,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065447572616e64646542616c626f61,Sombrero,Ape,Plain,Normal,Ape,Durand de Balboa,Explorers,de Balboa,None,Bubblegum,Oker,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654d61727469616c536d697468,Hoodie,Chainmail,Plain,Normal,Ape,Martial Smith,Craftsmen,Smith,None,None,Neutral,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416d696c63617257696c736f6e,Wool Cap,Brown Suit,Plain,Normal,Ape,Amilcar Wilson,Craftsmen,Wilson,None,Wheat,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654272696e6c6579436869657361,Gold Helmet,Suit,Plain,Monocle,Orange,Brinley Chiesa,Merchants,Chiesa,None,None,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065536c616465577269676874,Spinner Hat,Black Wool Coat,Silver Earring,Spectacles,Ape,Slade Wright,Military Officers,Wright,None,Dagger,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654f63686f614d617273,None,Lumberjack Shirt,Earphones,Normal,Ape,Ochoa Mars,Artists,Mars,None,None,Neutral,Goatee
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170655061636b617264526f6265727473,Top Hat,Ape,Plain,Normal,Ape,Packard Roberts,Craftsmen,Roberts,Spear,None,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706557696c667265644b696e67,Gold Helmet,Cardigan,Silver Earring,Normal,Ape,Wilfred King,Artists,King,Spear,None,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706552616d6f6e477265656e,Top Hat,Ape,Plain,Normal,Ape,Ramon Green,Craftsmen,Green,None,None,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654265616d616e526f62696e736f6e,None,Cardigan,Earphones,Normal,Ape,Beaman Robinson,Craftsmen,Robinson,None,None,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706552616c706854686f6d6173,Gold Helmet,Ape,Plain,Normal,Ape,Ralph Thomas,Craftsmen,Thomas,None,None,Oker,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065526f6368436869657361,Wool Cap,Doublet,Silver Earring,Normal,Ape,Roch Chiesa,Merchants,Chiesa,None,Dagger,Green,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706542726f6d6c657942726f776e,None,Chainmail,Silver Earring,Aviators,Ape,Bromley Brown,Craftsmen,Brown,None,None,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654661697266617856656e7475636369,Sombrero,Lumberjack Shirt,Silver Earring,Normal,Orange,Fairfax Ventucci,Merchants,Ventucci,None,Cigar,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065566963746f72696e5461796c6f72,Fruit Basket,Gold Linen,Plain,Normal,Ape,Victorin Taylor,Craftsmen,Taylor,None,None,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065456c646f6e4d617273,Sombrero,Prisoner Uniform,Plain,Sunglasses,Ape,Eldon Mars,Artists,Mars,None,None,Warm,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654d656164416d61746f,None,Brown Suit,Earphones,Normal,Ape,Mead Amato,Merchants,Amato,None,Gold Teeth,Red,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706554796e6552696368,Wool Cap,Brown Suit,Plain,Normal,Ape,Tyne Rich,Artists,Rich,None,Paint Brush,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706542726f6d6c657952696368,None,Black Wool Coat,Silver Earring,Normal,Ape,Bromley Rich,Artists,Rich,None,Wheat,Oker,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706550696572736f6e466f7264,Privateer Hat,Black Wool Coat,Plain,Normal,Orange,Pierson Ford,Artists,Ford,None,None,Oker,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065546f75737361696e7457616c6b6572,Hoodie,Ape,Silver Earring,Normal,Ape,Toussaint Walker,Craftsmen,Walker,None,None,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654d61726365617552696368,None,Ape,Feather Pen,Normal,Ape,Marceau Rich,Artists,Rich,None,Pipe,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654e6f727468436174616c6469,Feather Hat,Orange,Silver Earring,Normal,Orange,North Cataldi,Merchants,Cataldi,Sword,None,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706552616e736c657957616c6b6572,None,Ape,Plain,Normal,Ape,Ransley Walker,Craftsmen,Walker,None,Wheat,Green,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416c6672656457696c736f6e,None,Suit,Silver Earring,Normal,Ape,Alfred Wilson,Craftsmen,Wilson,None,None,Neutral,Goatee
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654d65736d696e52696368,None,Brown Suit,Plain,Normal,Ape,Mesmin Rich,Artists,Rich,Rifle,Bubblegum,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065566976616e7442657374,Gold Helmet,Lumberjack Shirt,Plain,Safety Goggles,Ape,Vivant Best,Artists,Best,None,None,Warm,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654a6167676572466f7264,None,Prisoner Uniform,Silver Earring,Normal,Ape,Jagger Ford,Artists,Ford,None,Wheat,Neutral,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706552616e73666f72644576616e73,None,Suit,Plain,Safety Goggles,Ape,Ransford Evans,Craftsmen,Evans,None,None,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706553636f7474436174616c6469,Feather Hat,Cardigan,Plain,Normal,Ape,Scott Cataldi,Merchants,Cataldi,Sword,Wheat,Oker,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065437972436f78,Hoodie,Prisoner Uniform,Silver Earring,Normal,Ape,Cyr Cox,Artists,Cox,Spear,None,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065446965676f48696c6c,None,Knight Armor,Feather Pen,Normal,Cardano,Diego Hill,Artists,Hill,None,None,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065563f6e616e636556656e7475636369,Hoodie,Suit,Plain,Normal,Ape,Vénance Ventucci,Merchants,Ventucci,Arrows,None,Blue,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416e64726573416d61746f,Wool Cap,Suit,Plain,Shutter Shades,Ape,Andres Amato,Merchants,Amato,None,None,Red,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065446f6e616c644b696e67,Feather Hat,Black Wool Coat,Plain,Normal,Orange,Donald King,Artists,King,None,None,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654a6f616e6e657345647761726473,None,Brown Suit,Plain,Normal,Orange,Joannes Edwards,Craftsmen,Edwards,None,None,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065466c656d696e67477265656e,None,Suit,Plain,Normal,Ape,Fleming Green,Craftsmen,Green,None,None,Cold,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654d6174656f45647761726473,None,Cardigan,Plain,Normal,Ape,Mateo Edwards,Craftsmen,Edwards,Sword,None,Cold,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065577269676874436869657361,Top Hat,Ape,Earphones,Aviators,Ape,Wright Chiesa,Merchants,Chiesa,Sword,None,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706554686f727065526f62696e736f6e,None,Ape,Silver Earring,Sunglasses,Ape,Thorpe Robinson,Craftsmen,Robinson,None,None,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654a6172766973646542616c626f61,None,Orange,Silver Earring,Spectacles,Orange,Jarvis de Balboa,Explorers,de Balboa,None,None,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706553616c7661746f7242616c6477696e,Hoodie,Prisoner Uniform,Feather Pen,Normal,Ape,Salvator Baldwin,Military Officers,Baldwin,None,Bubblegum,Aqua,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654272616e646f6e5461796c6f72,None,Ape,Feather Pen,VR Headset,Ape,Brandon Taylor,Craftsmen,Taylor,None,None,Oker,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706557617665726c79436869657361,Fruit Basket,Cardano,Plain,Normal,Cardano,Waverly Chiesa,Merchants,Chiesa,None,None,Oker,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170655765736c65794c617669676e65,Pirate Hat,Zombie,Plain,Normal,Zombie,Wesley Lavigne,Royal Advisors,Lavigne,None,Cigar,Warm,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706544656d707374657256656e7475636369,King's Crown,Doublet,Feather Pen,Aviators,Ape,Dempster Ventucci,Merchants,Ventucci,Rifle,None,Cold,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654f7362657274476172633f61,None,Brown Suit,Silver Earring,Aviators,Ape,Osbert García,Explorers,García,Sword,None,Warm,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065546f776e73656e645768697465,None,Rainbow Suit,Silver Earring,Normal,Ape,Townsend White,Craftsmen,White,None,None,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416c636f7474526f62696e736f6e,Wool Cap,Lumberjack Shirt,Plain,Normal,Ape,Alcott Robinson,Craftsmen,Robinson,None,None,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416c647269636852696368,Sombrero,Black Wool Coat,Feather Pen,Normal,Ape,Aldrich Rich,Artists,Rich,None,None,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065546875726c6f7745647761726473,None,Brown Suit,Plain,Normal,Ape,Thurlow Edwards,Craftsmen,Edwards,None,None,Red,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065426f6c746f6e57696c736f6e,Pirate Hat,Ape,Plain,Normal,Ape,Bolton Wilson,Craftsmen,Wilson,None,Cigar,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065547572656e6e6542657374,Knight Helmet,Black Wool Coat,Plain,Normal,Ape,Turenne Best,Artists,Best,None,None,Neutral,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706557657468657262794576616e73,None,Ape,Plain,Normal,Ape,Wetherby Evans,Craftsmen,Evans,Rifle,None,Blue,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654761627269656c4d6f6e6574,Halo,Knight Armor,Plain,Shutter Shades,Ape,Gabriel Monet,Royal Advisors,Monet,None,None,Warm,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065526567696e616c64466f7264,Spinner Hat,Brown Suit,Feather Pen,Normal,Ape,Reginald Ford,Artists,Ford,None,None,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706557657374526f62696e736f6e,Sombrero,Brown Suit,Plain,Normal,Ape,West Robinson,Craftsmen,Robinson,None,None,Oker,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416c6c79724d6164646f636b,None,Robot,Plain,Normal,Robot,Allyr Maddock,Military Officers,Maddock,None,Pipe,Warm,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065436c6966666f726443617374696c6c6f,Top Hat,Knight Armor,Plain,Normal,Ape,Clifford Castillo,Explorers,Castillo,None,Wheat,Warm,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654a756c69616e477265656e,None,Knight Armor,Plain,Normal,Ape,Julian Green,Craftsmen,Green,None,None,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654761726669656c644d617273,None,Black Wool Coat,Feather Pen,Spectacles,Ape,Garfield Mars,Artists,Mars,None,None,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065437265696768746f6e5768697465,Privateer Hat,Lumberjack Shirt,Plain,Normal,Ape,Creighton White,Craftsmen,White,None,None,Oker,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706553616e646f6e436f72746573,None,Lumberjack Shirt,Plain,Shutter Shades,Ape,Sandon Cortes,Explorers,Cortes,Sword,None,Neutral,Big Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706557796c696548696c6c,None,Ape,Silver Earring,Normal,Ape,Wylie Hill,Artists,Hill,None,Paint Brush,Cold,Goatee
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416c636f747456656e7475636369,None,Chainmail,Plain,Normal,Robot,Alcott Ventucci,Merchants,Ventucci,Spear,Cigar,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706544617272656c4d617273,None,Prisoner Uniform,Plain,Aviators,Orange,Darrel Mars,Artists,Mars,None,None,Warm,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654c756361735768697465,None,Prisoner Uniform,Plain,Normal,Orange,Lucas White,Craftsmen,White,None,None,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706548756e746572526f62696e736f6e,None,Doublet,Plain,Normal,Ape,Hunter Robinson,Craftsmen,Robinson,None,Cigar,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416d696c636172476172633f61,Sombrero,Prisoner Uniform,Plain,Normal,Orange,Amilcar García,Explorers,García,Spear,None,Warm,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065466c6575727942657374,None,Suit,Plain,Normal,Cardano,Fleury Best,Artists,Best,Rifle,None,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065466c6f7269734576616e73,None,Brown Suit,Feather Pen,Normal,Ape,Floris Evans,Craftsmen,Evans,None,Cigar,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065486f7274756e4d6164646f636b,Privateer Hat,Chainmail,Plain,Normal,Ape,Hortun Maddock,Military Officers,Maddock,Rifle,Wheat,Blue,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065547965436174616c6469,None,Lumberjack Shirt,Earphones,Normal,Robot,Tye Cataldi,Merchants,Cataldi,None,Paint Brush,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706547696c42726f776e,None,Brown Suit,Feather Pen,Normal,Ape,Gil Brown,Craftsmen,Brown,None,Bubblegum,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654477656e6e6f6e436f78,None,Orange,Silver Earring,Normal,Orange,Dwennon Cox,Artists,Cox,Sword,None,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654861726f6c6445647761726473,Hoodie,Ape,Plain,Normal,Ape,Harold Edwards,Craftsmen,Edwards,None,None,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654c6177736f6e42657374,Feather Hat,Lumberjack Shirt,Silver Earring,Normal,Ape,Lawson Best,Artists,Best,None,None,Blue,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065416c65784d6164646f636b,None,Robot,Silver Earring,Normal,Robot,Alex Maddock,Military Officers,Maddock,None,Bubblegum,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654368616e6e696e6757616c6b6572,Top Hat,Suit,Silver Earring,Normal,Ape,Channing Walker,Craftsmen,Walker,None,None,Cold,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065436c696e746f6e436f72746573,Pirate Hat,Suit,Earphones,Normal,Orange,Clinton Cortes,Explorers,Cortes,None,None,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706541766974476172633f61,Top Hat,Brown Suit,Cardano Earring,Normal,Orange,Avit García,Explorers,García,None,None,Red,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654c756361734b696e67,Fruit Basket,Cardigan,Plain,Normal,Ape,Lucas King,Artists,King,None,None,Oker,Goatee
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065526165446176696573,None,Doublet,Feather Pen,Normal,Ape,Rae Davies,Craftsmen,Davies,None,None,Neutral,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654f736d6f6e644d6164646f636b,Halo,Black Wool Coat,Plain,Normal,Ape,Osmond Maddock,Military Officers,Maddock,None,Cigar,Cold,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706553616261737469616e57616c6b6572,None,Ape,Plain,Wraparound Glasses,Ape,Sabastian Walker,Craftsmen,Walker,None,None,Warm,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170655365776172644b696e67,Spinner Hat,Doublet,Plain,Normal,Ape,Seward King,Artists,King,None,Wheat,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706542617264656e64656c614372757a,Fruit Basket,Suit,Feather Pen,Normal,Ape,Barden de la Cruz,Explorers,de la Cruz,Sword,None,Aqua,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654461676f6265727452696368,Pirate Hat,Knight Armor,Plain,Normal,Ape,Dagobert Rich,Artists,Rich,None,Wheat,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065446179746f6e577269676874,None,Knight Armor,Plain,Normal,Ape,Dayton Wright,Military Officers,Wright,Sword,Gold Teeth,Aqua,Long White Beard
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654c656c616e644d6164646f636b,None,Black Wool Coat,Earphones,Sunglasses,Ape,Leland Maddock,Military Officers,Maddock,None,Gold Teeth,Neutral,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065526f636857616c6b6572,None,Suit,Silver Earring,Normal,Ape,Roch Walker,Craftsmen,Walker,None,None,Aqua,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e2561646170654163746f6e4d617273,Feather Hat,Chainmail,Plain,Normal,Ape,Acton Mars,Artists,Mars,Sword,None,Warm,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706544617272656c4d6f6e6574,Privateer Hat,Brown Suit,Plain,Normal,Orange,Darrel Monet,Royal Advisors,Monet,Sword,Diamond Grill,Green,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706554616e6e65724d617273,None,Ape,Plain,Sunglasses,Ape,Tanner Mars,Artists,Mars,Sword,None,Neutral,Mustache
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706543617276657264656c614372757a,Privateer Hat,Brown Suit,Silver Earring,Normal,Cardano,Carver de la Cruz,Explorers,de la Cruz,None,None,Blue,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e25616461706548616d696c746f6e446176696573,None,Rainbow Suit,Silver Earring,Normal,Orange,Hamilton Davies,Craftsmen,Davies,None,None,Warm,Normal
dac355946b4317530d9ec0cb142c63a4b624610786c2a32137d78e256164617065436c696e746f6e436869657361,Top Hat,Rainbow Suit,Feather Pen,Normal,Orange,Clinton Chiesa,Merchants,Chiesa,None,Wheat,Warm,Normal
